id;codigo Otto;nivel Otto;nome da bacia hidrografica;nome do curso principal;principais afluentes;sub-bacias hidrograficas;suprabacia(s);ordem de Horton-Strahler;ordem de Gravelius;area total;area territorial;comprimento curso principal;numero de cursos d'agua;soma dos comprimentos do cursos d'agua;comprimento medio dos cursos d'agua;densidade hidrografica;densidade de drenagem;coeficiente de manutencao;distancia da foz ao oceano;distancia da nascente ao oceano;classe de tamanho da bacia;populacao em 2010;numero de municipios;disponibilidade hidrica;populacao_c;demanda total;demanda humana urbana;demanda humana rural;demanda da industria de transformacao;demanda da mineracao;demanda das termoeletricas;demanda animal;demanda da irrigacao
5;6452;4;Bacia do Rio Trombetas;Rio Trombetas;Rio Erepecuru, Lago Urua, Rio Cachorro, Rio Mapuera;Bacia do Rio Cachorro, Bacia do Lago Urua, Bacia do Rio Mapuera, Bacia do Rio Erepecuru;Bacia do Rio Amazonas;8;2;156232,2107;156077,333;834,7525252;10111;34134,71484;3,375997907;0,064717768;0,21848705;4576,930303;813,1177307;1647,870256;Media;105319;10;439,696;105319;2,94401;0,146019;0,0784752;0,000695327;0,310681;2,20639;0,185681;0,0160717
6;6662;4;Bacia do Rio Vermelho;Rio Vermelho;Rio Manuel Alves Grande, Rio Itapecuru, Rio agua Branca, Rio Sereno;Bacia do Rio agua Branca, Bacia do Rio Itapecuru, Bacia do Rio Sereno, Bacia do Rio Manuel Alves Grande;Bacia Tocantins-Araguaia e Bacia do Rio Tocantins;6;3;16503,35454;16503,355;331,0618331;499;2648,205591;5,307025233;0,030236277;0,160464685;6231,900801;1139,886417;1470,94825;Media;28739;8;97,229;28739;1,25854;0,0251996;0,0215381;0,000190382;0;0;0,142091;1,06953
7;6786;4;Bacia do Rio Santo Antonio;Rio Santo Antonio;Rio Guanhaes, Rio Preto do Itambe, Rio do Tanque, Rio do Peixe;Bacia do Rio Preto do Itambe, Bacia do Rio do Tanque, Bacia do Rio do Peixe (MG), Bacia do Rio Guanhaes;Bacia do Rio Doce;6;2;10429,95284;10429,953;278,9746949;386;2051,901343;5,315806589;0,037008796;0,196731603;5083,067405;376,3604792;655,3351741;Media;152372;40;42,02;152372;2,69304;0,249878;0,0795203;0,633977;1,17261;0;0,299776;0,25727
8;6378;4;Bacia do Rio Rio Oiapoque;Rio Oiapoque;Rio Cricou, Rio Mutura, Rio Anotaie;Bacia do Rio Mutura, Bacia do Rio Anotaie, Bacia do Rio Cricou;Nome nao identificado;6;1;25824,85768;12491,623;385,8198876;494;2539,702676;5,141098535;0,019128857;0,098343337;10168,45709;0;385,8198876;Media;14201;5;109,594;14201;0,148308;0,140402;0,00498259;0,000635333;0,000157405;0;0,00209406;3,68E-05
9;6736;4;Bacia do Rio Peria;Rio Peria;Rio Bacaba, Rio Marciano, Rio Grande, Rio da Ribeira;Bacia do Rio Grande, Bacia do Rio da Ribeira, Bacia do Rio Marciano, Bacia do Rio Bacaba;Nome nao identificado;5;1;3368,540145;3302,975;120,5021882;53;349,3411364;6,591342197;0,015733819;0,103706983;9642,552205;0;120,5021882;Pequena;38439;6;0,13;38439;0,0880361;0,0456525;0,0320719;0;0;0;0,00980159;0,000509926
10;6642;4;Bacia do Rio Jacunda;Rio Jacunda;Igarape Acu, Rio Mocajatuba Grande, Rio Panauba;Bacia do Rio Panauba, Bacia do Rio Mocajatuba Grande, Bacia do Igarape Acu;Bacia Tocantins-Araguaia e Bacia do Rio Pacaja;5;3;4833,391949;4833,392;292,4333812;96;571,7452344;5,955679525;0,019861828;0,118290683;8453,751179;270,7441816;563,1775628;Pequena;22897;7;10,677;22897;0,0804821;0,0464247;0,0204371;0;0;0;0,0121986;0,00142193
11;6636;4;Bacia da Baia do Capim;Baia do Capim;Rio Arienga ou Uruenga, Rio Abaete, Rio Meruu-Acu;Bacia do Rio Arienga ou Uruenga, Bacia do Rio Meruu-Acu, Bacia do Rio Abaete;Bacia Tocantins-Araguaia;4;2;2636,653113;2636,653;134,0764907;61;351,660005;5,764918115;0,023135391;0,133373633;7497,73382;134,2370918;268,3135825;Pequena;170894;6;13,833;170894;0,417577;0,258775;0,0816492;0,00713403;3,10E-05;0;0,00494401;0,0650443
12;6486;4;Bacia do Rio Demini;Rio Demini;Rio Cueiras, Rio Araca, Rio Mapulau, Rio Ananaliua;Bacia do Rio Mapulau, Bacia do Rio Ananaliua, Bacia do Rio Araca, Bacia do Rio Cueiras;Bacia do Rio Amazonas e Bacia do Rio Negro;7;3;40867,57489;40835,844;621,7624809;1319;5399,667069;4,093758203;0,032274976;0,132125948;7568,536052;1970,375977;2592,138458;Media;6326;3;164,259;6326;0,00927734;0,00304935;0,00618772;0,00001396;0,000023177;0;0,000002978;0
13;6762;4;Bacia do Rio Grande (BA);Rio Grande;Rio de Janeiro, Rio Preto, Rio de Ondas;Bacia do Rio Preto (BA), Bacia do Rio de Ondas, Bacia do Rio de Janeiro;Bacia do Rio Sao Francisco;7;2;77188,55117;77188,551;560,6996847;1112;6441,059701;5,792319875;0,014406282;0,083445791;11983,82793;1172,100547;1732,800231;Media;387853;37;147,475;387853;36,5929;0,578322;0,165783;0,0864646;0,00160947;0;0,58441;35,1763
14;6746;4;Bacia do Rio Gurgueia;Rio Gurgueia;Rio Santana, Riacho Esfolado, Riacho Curimata;Bacia do Riacho Esfolado, Bacia do Riacho Curimata, Bacia do Rio Santana (PI);Bacia do Rio Parnaiba;7;2;48340,56496;48340,565;783,3932697;1039;5459,811868;5,254871865;0,021493336;0,112944726;8853,888399;708,8262211;1492,219491;Media;182649;39;1,474;182649;1,46559;0,28367;0,0567988;0,00253963;0,000584739;0;0,277793;0,844207
15;6598;4;Bacia de nome nao identificado;Nome nao identificado;Nome nao identificado;Nome nao identificado;Nome nao identificado;3;1;129,2723582;128,969;32,91650314;6;17,99511381;2,999185636;0,046413635;0,139203106;7183,747738;0;32,91650314;Pequena;23;1;0,193;23;0,000022686;0;0,0000205;0;0;0;0;0,0000022
16;6424;4;Bacia do Rio Fresco;Rio Fresco;Rio Arraias, Rio Juari, Riozinho, Rio Branco;Bacia do Riozinho (PA), Bacia do Rio Branco (PA), Bacia do Rio Juari, Bacia do Rio Arraias (PA);Bacia do Rio Amazonas e Bacia do Rio Xingu;7;3;43862,00167;43862,002;627,8721696;3201;10198,86816;3,186150627;0,072978886;0,232521722;4300,673466;1227,235124;1855,107293;Media;108840;12;25,628;108840;1,40792;0,219701;0,0330166;0,0208121;0,00587204;0;1,12363;0,00489171
17;6784;4;Bacia do Rio Suacui Grande;Rio Suacui Grande;Rio Itambacuri, Rio Sao Felix, Rio Urupuca, Rio Cocais;Bacia do Rio Itambacuri, Bacia do Rio Urupuca, Bacia do Rio Cocais, Bacia do Rio Sao Felix;Bacia do Rio Doce;7;2;12407,60334;12407,603;385,0047423;573;2490,987179;4,347272564;0,04618136;0,200762961;4980,998473;288,3657054;673,3704477;Media;207217;43;29,513;207217;1,4077;0,23804;0,121142;0,0137382;0,00658457;0;0,592731;0,435454
18;6618;4;Bacia do Rio Camara;Rio Camara;Rio Sao Miguel;Bacia do Rio Sao Miguel (PA);Bacia Tocantins-Araguaia;4;2;1338,439552;1338,44;114,2313488;33;173,9839483;5,272240857;0,024655577;0,129990143;7692,891014;58,43408334;172,6654321;Pequena;7534;2;3,26;7534;0,0170084;0,00738379;0,00728404;0,000000692;0;0;0,00131741;0,00102249
20;6442;4;Bacia do Rio Jamanxim;Rio Jamanxim;Rio Aruri Grande, Rio Novo, Rio Tocantins, Rio Mutuca;Bacia do Rio Tocantins, Bacia do Rio Aruri Grande, Bacia do Rio Novo (PA) 2, Bacia do Rio Mutuca;Bacia do Rio Amazonas e Bacia do Rio Tapajos;7;3;58081,04925;58081,049;705,730485;4276;13702,83788;3,204592583;0,07362126;0,235926142;4238,614639;1057,326023;1763,056508;Media;34788;5;280,924;34788;0,551144;0,073697;0,0214863;0,00381887;0,00238609;0;0,446338;0,00341853
21;6782;4;Bacia do Rio Manhuacu;Rio Manhuacu;Ribeirao Jequitiba, Rio do Capim, Ribeirao do Funil, Rio Jose Pedro;Bacia do Rio do Capim, Bacia do Ribeirao do Funil, Bacia do Rio Jose Pedro, Bacia do Ribeirao Jequitiba;Bacia do Rio Doce;6;2;8825,784528;8825,785;361,9174693;418;2086,041902;4,990530865;0,047361229;0,236357674;4230,875958;166,8526887;528,770158;Pequena;268806;44;308,051;268806;1,94213;0,365161;0,156694;0,0306722;0,00143627;0;0,313269;1,07489
22;6418;4;Bacia do Rio Paru;Rio Paru;Igarape Tacurana, Igarape Itapecuru, Rio Citare, Igarape Atauale;Bacia do Rio Citare, Bacia do Igarape Atauale, Bacia do Igarape Itapecuru, Bacia do Igarape Tacurana;Bacia do Rio Amazonas;7;2;42415,11071;42338,256;931,5700154;1948;7284,378446;3,739413987;0,045927029;0,171740173;5822,749466;348,8049707;1280,374986;Media;19396;5;58,136;19396;1,26564;0,0186642;0,00674499;0,319821;0,000100302;0,902489;0,0173833;0,000441463
23;6754;4;Bacia do Rio Jaguaribe;Rio Jaguaribe;Rio Salgado, Riacho Conceicao, Rio Banabuiu, Rio dos Bastioes;Bacia do Riacho Conceicao, Bacia do Rio Banabuiu, Bacia do Rio dos Bastioes, Bacia do Rio Salgado;Nome nao identificado;8;1;73120,78061;73120,672;704,4533102;2886;11615,79033;4,024875374;0,039468944;0,158857581;6294,946666;0;704,4533102;Media;2271583;120;21,149;2271583;25,4752;3,37158;0,912004;0,571456;0,00851885;0;1,63312;18,9785
24;6768;4;Bacia do Rio Paracatu;Rio Paracatu;Rio do Sono e Rio Santo Antonio, Rio Preto, Rio da Prata, Ribeirao Sao Pedro;Bacia Sono-Santo Antonio, Bacia do Rio Preto (DF/GO/MG), Bacia do Ribeirao Sao Pedro, Bacia do Rio da Prata 1;Bacia do Rio Sao Francisco;6;2;45013,3059;45013,306;547,4830933;804;5805,133997;7,220315917;0,017861385;0,128964845;7754,051142;1935,405478;2482,888571;Media;380669;25;98,513;380669;28,8681;0,715628;0,096512;0,731278;0,152719;0;1,14541;26,0265
25;6434;4;Bacia do Rio Maicuru;Rio Maicuru;Rio Caucu, Igarape Jangada, Lago Cajobim;Bacia do Igarape Jangada, Bacia do Lago Cajobim, Bacia do Rio Caucu;Bacia do Rio Amazonas;6;2;16362,8198;16362,82;481,5710507;576;2405,00898;4,175362812;0,035201757;0,146980105;6803,641873;573,0492477;1054,620298;Media;51195;4;5,616;51195;0,33434;0,0823277;0,0286884;0,000232277;0,00001899;0;0,174485;0,0485871
26;6894;4;Bacia do Rio Taquari;Rio Taquari;Rio Taquari, Vazante do Corixao, Rio Capivari, Rio Jauru;Bacia da Vazante do Corixao, Bacia do Rio Capivari, Bacia do Rio Jauru (MS), Bacia do Rio Taquari (MS/MT);Bacia do Rio da Prata;7;2;53491,0528;53491,053;742,5348817;762;5838,788736;7,662452409;0,014245373;0,109154493;9161,326984;2711,567103;3454,101985;Media;100456;16;18,482;100456;2,37759;0,197933;0,0190131;0,242471;0,000921909;0;1,71922;0,198035
27;6488;4;Bacia do Rio Uaupes;Rio Uaupes;Igarape Iauiari, Rio Papuri, Rio Tiquie;Bacia do Rio Papuri, Bacia do Igarape Iauiari, Bacia do Rio Tiquie;Bacia do Rio Amazonas e Bacia do Rio Negro;7;3;64091,26389;26577,246;1320,260074;701;4482,091044;6,39385313;0,010937528;0,069932948;14299,41143;2547,957458;3868,217532;Media;5918;2;1655,47;5918;0,00706432;0;0,00706182;0;0;0;2,79E-06;0
28;6614;4;Bacia do Rio Paracauti;Rio Paracauti;Nome nao identificado;Nome nao identificado;Bacia Tocantins-Araguaia;5;2;1335,717776;1238,496;108,4707149;29;151,4346566;5,22188471;0,021711173;0,113373243;8820,42332;26,39706614;134,8677811;Pequena;27352;3;4,24;27352;0,142461;0,0675081;0,00351015;0,0000474;0;0;0,0703233;0,00107195
29;6672;4;Bacia do Rio Pau-d'Arco;Rio Pau-d'Arco;Corrego Ribeirao Pau-d'Arquinho, Rio Salobro, Ribeirao Azulona, Rio Arraias do Araguaia;Bacia do Rio Salobro, Bacia do Ribeirao Azulona, Bacia do Rio Arraias do Araguaia, Bacia do Corrego Ribeirao Pau-d'Arquinho;Bacia Tocantins-Araguaia;7;2;13454,3048;13454,305;236,1136737;1067;3191,233947;2,990847186;0,079305473;0,237190549;4216,019579;1098,608578;1334,722252;Media;93759;8;15,135;93759;0,827755;0,161779;0,0234442;0,0267682;0,000454944;0;0,503456;0,111852
30;6676;4;Bacia do Rio Formoso;Rio Formoso;Rio Pium, Rio Duere, Rio Javaes, Rio Riozinho;Bacia do Rio Duere, Bacia do Rio Pium, Bacia do Rio Javaes, Bacia do Rio Riozinho (TO);Bacia Tocantins-Araguaia;7;2;54531,55795;54531,558;726,6770332;1254;7420,335913;5,917333264;0,022995859;0,136074159;7348,933874;1405,541885;2132,218918;Media;85963;25;7,031;85963;18,2601;0,14354;0,0287697;0,0133853;0,00336306;0;1,1794;16,8916
31;6456;4;Bacia do Rio Jatapu;Rio Jatapu;Rio Carara ou Cidade Velha, Rio Jatapuzinho, Rio Uatuma, Rio Aneba;Bacia do Rio Uatuma, Bacia do Rio Jatapuzinho, Bacia do Rio Aneba, Bacia do Rio Carara ou Cidade Velha;Bacia do Rio Amazonas;8;2;72523,7802;72519,694;938,5051757;6232;18879,28413;3,029410162;0,085930435;0,260318534;3841,447574;1082,22456;2020,729736;Media;67354;13;725,624;67354;0,339169;0,189693;0,0502286;0,0183499;0,0215623;0;0,0488506;0,010484
32;6744;4;Bacia do Rio Piaui;Rio Piaui;Rio Caninde, Rio Fidalgo, Riacho Fundo, Riacho Gameleira;Bacia do Rio Fidalgo, Bacia do Riacho Fundo, Bacia do Riacho Gameleira, Bacia do Rio Caninde;Bacia do Rio Parnaiba;7;2;74981,0807;74981,081;636,7385618;1201;7329,969284;6,103221718;0,016017374;0,097757584;10229,38539;585,5281903;1222,266752;Media;647649;113;3,274;647649;3,31386;0,770694;0,275414;0,0290658;0,00153122;0;0,47545;1,7617
33;6764;4;Bacia do Rio Corrente;Rio Corrente;Rio Formoso, Rio Arrojado, Rio Correntina, Rio do Meio;Bacia do Rio do Meio (BA), Bacia do Rio Correntina, Bacia do Rio Arrojado, Bacia do Rio Formoso;Bacia do Rio Sao Francisco;6;2;34532,61741;34532,617;388,6404606;480;2772,78519;5,776635812;0,013899902;0,080294672;12454,12646;1435,784912;1824,425373;Media;143780;21;82,353;143780;17,7699;0,20989;0,0919947;0,00355559;0,000567627;0;0,355027;17,1089
34;6426;4;Bacia Manissaua-Micu-Tartaruga;Rio Manissaua-Micu e Rio Tarta;Rio Pele, Rio Arraias, Rio Azul, Rio Itrio Barbosa;Bacia do Rio Itrio Barbosa, Bacia do Rio Azul, Bacia do Rio Arraias (MT), Bacia do Rio Pele;Bacia do Rio Amazonas e Bacia do Rio Xingu;6;3;27996,37686;27996,377;658,1064881;712;3462,470556;4,863020444;0,025431862;0,123675666;8085,664962;1953,711592;2611,81808;Media;42206;11;151,182;42206;0,96814;0,0975002;0,0173393;0,00733008;0,000025441;0;0,17357;0,672375
35;6796;4;Bacia do Rio Jacui;Rio Jacui;Rio Vacacai, Rio Cai, Rio Taquari e Rio Antas, Rio Pardo;Bacia Taquari-Antas, Bacia do Rio Pardo (RS), Bacia do Rio Cai, Bacia do Rio Vacacai;Nome nao identificado;7;1;82480,02193;82480,022;730,2459079;2561;12970,3699;5,064572394;0,031049943;0,157254685;6359,111001;0;730,2459079;Media;5790923;255;12,063;5790923;98,0799;14,1262;0,974405;6,65895;0,880306;3,67106;3,51717;68,2518
36;6732;4;Bacia do Rio Itapecuru;Rio Itapecuru;Rio Peritoro, Rio Balseiro, Rio Alpercatas, Rio Codozinho;Bacia do Rio Balseiro, Bacia do Rio Codozinho, Bacia do Rio Alpercatas, Bacia do Rio Peritoro (MA);Nome nao identificado;6;1;53095,22829;53095,228;965,285678;657;5085,483278;7,740461611;0,012373993;0,09578042;10440,54722;0;965,285678;Media;967762;63;43,905;967762;4,01134;2,08111;0,422436;0,214666;0,00924544;0,0862861;0,684705;0,512887
37;6674;4;Bacia do Rio Inaja;Rio Inaja;Ribeirao Periquito, Rio Inajazinho, Rio Preto;Bacia do Rio Inajazinho, Bacia do Ribeirao Periquito, Bacia do Rio Preto (PA) 2;Bacia Tocantins-Araguaia;6;2;8417,142014;8417,142;253,4734417;469;1696,399948;3,617057458;0,055719625;0,201541087;4961,767432;1289,053478;1542,526919;Pequena;13910;4;9,367;13910;0,359004;0,0172572;0,0116026;0,000225999;0,0000186;0;0,319794;0,0101057
38;6696;4;Bacia do Rio Caiapo;Rio Caiapo;Rio Bonito, Ribeirao Santo Antonio, Ribeirao Boa Vista, Rio Piranhas;Bacia do Ribeirao Santo Antonio, Bacia do Ribeirao Boa Vista, Bacia do Rio Piranhas (GO), Bacia do Rio Bonito;Bacia Tocantins-Araguaia;6;2;12073,05319;12073,053;331,9264496;385;1967,182964;5,109566139;0,031889199;0,162939973;6137,229437;2334,261939;2666,188388;Media;72433;15;32,005;72433;0,942124;0,124959;0,00911907;0,0146993;0,000331663;0;0,630735;0,162281
39;6688;4;Bacia do Rio Cumbuco;Rio Cumbuco;Corrego Corrente, Rio Suspiro, Corrego Fundo;Bacia do Corrego Fundo, Bacia do Corrego Corrente, Bacia do Rio Suspiro;Bacia Tocantins-Araguaia e Bacia do Rio das Mortes;4;3;3201,961242;3201,961;125,6368526;24;196,451611;8,185483791;0,007495406;0,061353526;16298,98185;2542,468336;2668,105189;Pequena;782;5;25,761;782;1,55402;0;0,00148791;0;0;0;0,0272293;1,5253
40;6478;4;Bacia do Rio Preto da Eva;Rio Preto da Eva;Igarape Tapaiuna, Igarape agua Branca, Lago Aruma, Igarape Sucuriju;Bacia do Igarape agua Branca, Bacia do Igarape Tapaiuna, Bacia do Lago Aruma, Bacia do Igarape Sucuriju;Bacia do Rio Amazonas;5;2;3261,897923;3261,898;168,2673534;252;760,9218867;3,019531296;0,077255636;0,233275812;4286,77106;1374,303465;1542,570818;Pequena;29311;3;26,215;29311;0,084156;0,0509167;0,0112386;0,00110719;9,85E-05;0;0,0107054;0,0100898
41;6388;4;Bacia do Rio Murure;Rio Murure;Nome nao identificado;Nome nao identificado;Bacia do Rio Araguari;5;2;2281,44364;2281,444;134,1250094;100;428,8734026;4,288734026;0,043831896;0,187983343;5319,620255;455,9593296;590,084339;Pequena;0;2;3,093;0;0,00051243;0;0,000512367;0;0;0;0;0
42;6726;4;Bacia do Rio das Flores;Rio das Flores;Brejo da Reparticao, Riacho Refrigerio, Rio Preguica;Bacia do Riacho Refrigerio, Bacia do Rio Preguica, Bacia do Brejo da Reparticao;Bacia do Rio Mearim;5;2;5957,239532;5957,24;190,8379228;48;559,0028381;11,64589246;0,008057423;0,093835884;10656,90391;503,3309926;694,1689154;Pequena;100103;14;0,987;100103;0,571954;0,249544;0,060865;0,0110284;0,0000534;0;0,161373;0,0890903
44;6512;4;Bacia de nome nao identificado;Nome nao identificado;Nome nao identificado;Nome nao identificado;Nome nao identificado;2;1;170,4480863;170,448;31,0069626;2;36,55731731;18,27865866;0,011733778;0,214477722;4662,488905;0;31,0069626;Pequena;238;1;;238;;;;;;;;
45;6668;4;Bacia do Rio Maranhao;Rio Maranhao;Rio Verde, Rio dos Patos, Rio Arraial Velho, Rio do Sal;Bacia do Rio Verde (GO), Bacia do Rio dos Patos (GO), Bacia do Rio Arraial Velho, Bacia do Rio do Sal;Bacia Tocantins-Araguaia e Bacia do Rio Tocantins;6;3;15545,78137;15545,781;435,4936982;265;2196,285899;8,287871318;0,017046425;0,141278579;7078,213894;2226,714586;2662,208284;Media;225909;14;156,991;225909;4,76183;0,459236;0,0511315;0,504898;0,0294854;0;0,423087;3,29399
46;6638;4;Bacia do Rio Atua;Rio Atua;Igarape Jacareguara, Rio Anabiju, Rio Parita, Rio Taua;Bacia do Rio Anabiju, Bacia do Rio Parita, Bacia do Rio Taua, Bacia do Igarape Jacareguara;Bacia Tocantins-Araguaia;4;2;2129,057637;2129,058;108,1256251;50;262,2444944;5,244889888;0,023484569;0,123173976;8118,598034;146,3197805;254,4454056;Pequena;2364;3;6,745;2364;0,0253021;0;0,0118452;0;0;0;0,0119525;0,00150422
47;6394;4;Bacia do Igarape Grande;Igarape Grande;Nome nao identificado;Nome nao identificado;Nome nao identificado;4;1;387,4091891;387,409;50,67902539;20;60,7550143;3,037750715;0,051625002;0,156823885;6376,579671;0;50,67902539;Pequena;44;2;2,459;44;0,0111081;0,00731256;0,00344998;0,0000168;0;0;0,00032883;0
